"","country","shape"
"13827","gb","changing"
"13835","ca","disk"
"13846","gb","triangle"
"13867","us","disk"
"13872","us","disk"
"13894","us","disk"
"13897",NA,"disk"
"13925","us","disk"
"13938","us","disk"
"13948","gb","sphere"
"13965","us","disk"
"13974","gb","fireball"
"14007","us","disk"
"14046","gb","changing"
"14059","us","disk"
"14089","gb","light"
"14092","us","disk"
"14099","gb","fireball"
"14106","us","disk"
"14113","us","disk"
"14132","us","disk"
"14137","gb","light"
"14143","gb","flash"
"14163","us","disk"
"14226","us","disk"
"14234","us","disk"
"14243","us","disk"
"14251",NA,"disk"
"14252","us","disk"
"14288","gb","diamond"
"14297","us","disk"
"14313","us","disk"
"14325","us","disk"
"14329","us","disk"
"14333","gb","rectangle"
"14345","gb","disk"
"14348","gb","flash"
"14355","gb","triangle"
"14370","ca","disk"
"14391","us","disk"
"14398",NA,"disk"
"14423","us","disk"
"14447",NA,"disk"
"14451","us","disk"
"14455","us","disk"
"14484","gb","chevron"
"14485","gb","light"
"14486",NA,"disk"
"14508","us","disk"
"14524","gb","cigar"
"14539","us","disk"
"14540","gb","other"
"14552",NA,"disk"
"14557","gb","triangle"
"14583","us","disk"
"14586","us","disk"
"14599","us","disk"
"14604","us","disk"
"14609",NA,"disk"
"14610",NA,"disk"
"14616",NA,"disk"
"14617",NA,"disk"
"14622","ca","disk"
"14628","us","disk"
"14653","us","disk"
"14662","us","disk"
"14667","us","disk"
"14669","gb","egg"
"14680",NA,"disk"
"14681","us","disk"
"14689","gb","disk"
"14690","us","disk"
"14705","gb","cross"
"14706","gb","light"
"14713","us","disk"
"14715","us","disk"
"14734","us","disk"
"14736","gb","circle"
"14767","gb","light"
"14772","us","disk"
"14780","us","disk"
"14805",NA,"disk"
"14806",NA,"disk"
"14833","us","disk"
"14844","gb","sphere"
"14845","us","disk"
"14853","us","disk"
"14879","us","disk"
"14884","us","disk"
"14898","us","disk"
"14902","us","disk"
"14967","us","disk"
"15004","us","disk"
"15043","us","disk"
"15085","us","disk"
"15087","us","disk"
"15107","us","disk"
"15111","us","disk"
"15118","us","disk"
"15125","gb","disk"
"15136","us","disk"
"15147","us","disk"
"15157","gb","other"
"15159","gb","diamond"
"15162","us","disk"
"15171","us","disk"
"15176",NA,"disk"
"15188","us","disk"
"15192",NA,"disk"
"15216","us","disk"
"15244","us","disk"
"15262","us","disk"
"15267","us","disk"
"15270","us","disk"
"15284","us","disk"
"15318","gb","egg"
"15319","us","disk"
"15320","us","disk"
"15341","us","disk"
"15400","us","disk"
"15419","us","disk"
"15455",NA,"disk"
"15497","us","disk"
"15509","gb","sphere"
"15521","gb","fireball"
"15524","us","disk"
"15554",NA,"disk"
"15587","gb",NA
"15588","gb","circle"
"15592","us","disk"
"15652","gb","circle"
"15671",NA,"disk"
"15681","us","disk"
"15699","us","disk"
"15706","gb","oval"
"15720","us","disk"
"15757","us","disk"
"15758","gb","circle"
"15760","us","disk"
"15774","us","disk"
"15787","gb","other"
"15790","us","disk"
"15880","au","disk"
"15883","us","disk"
"15884","us","disk"
"15886","gb","circle"
"15887",NA,"disk"
"15889","us","disk"
"15893","us","disk"
"15902",NA,"disk"
"15916","us","disk"
"15920","us","disk"
"15922","us","disk"
"15933","us","disk"
"15940","us","disk"
"15945","us","disk"
"15955","gb","light"
"15959","gb","unknown"
"15971","us","disk"
"15984","gb","fireball"
"15990","gb","sphere"
"16015","gb","fireball"
"16026","gb","cigar"
"16027","gb","cigar"
"16028","gb","sphere"
"16030","gb","light"
"16032","gb","triangle"
"16033","us","disk"
"16036","gb","light"
"16037","gb","circle"
"16071","us","disk"
"16079","us","disk"
"16088","us","disk"
"16096","us","disk"
"16097","gb","sphere"
"16117",NA,"disk"
"16129",NA,"disk"
"16147","us","disk"
"16163","gb","triangle"
"16181","us","disk"
"16184","gb","sphere"
"16203","gb","circle"
"16222","gb","light"
"16258",NA,"disk"
"16260","us","disk"
"16264",NA,"disk"
"16269","us","disk"
"16276","us","disk"
"16277",NA,"disk"
"16290","ca","disk"
"16291","us","disk"
"16296","au","disk"
"16306",NA,"disk"
"16313","us","disk"
"16315","us","disk"
"16318",NA,"disk"
"16351","us","disk"
"16352","us","disk"
"16356","us","disk"
"16363",NA,"disk"
"16368","gb","triangle"
"16373","us","disk"
"16384","us","disk"
"16385","us","disk"
"16415","gb",NA
"16418","us","disk"
"16419","us","disk"
"16420","gb","other"
