"","datetime","city","country","shape"
"442",2020-12-12,"sedro woolley",NA,"unknown"
"443",2020-12-12,"deer park","us","other"
"444",2020-12-12,"crisfield","us","light"
"445",2020-12-12,"st. john&#39s (canada)","ca","flash"
"446",2020-06-27,"plymouth","us","triangle"
"447",2020-12-12,"glendale","us","egg"
"448",2020-12-12,"louisville","us","disk"
"449",2020-12-12,"rowlett","us","disk"
"450",2020-12-12,"west palm beach","us","oval"
"451",2020-12-12,"north smithfield","us","circle"
"452",2020-12-12,"putnamville","us","flash"
"453",2020-12-12,"madison","us","light"
"454",2020-11-21,"redondo beach","us","other"
"455",2020-11-21,"moxee",NA,"rectangle"
"456",2020-11-21,"albany","us","oval"
"457",2020-11-21,"west palm beach","us","sphere"
"458",2020-11-21,"orangevale","us","changing"
"459",2020-11-21,"cottage grove","us","light"
"460",2020-11-21,"glendora","us","circle"
"461",2020-11-21,"ramona","us","triangle"
"462",2020-11-21,"union city","us","other"
"463",2020-11-21,"clinton township",NA,"fireball"
"464",2020-10-19,"omaha","us","chevron"
"465",2020-10-19,"henderson","us","other"
"466",2020-10-19,"cedar city","us","light"
"467",2020-12-12,"des moines","us","light"
"468",2020-12-12,"new bedford","us","circle"
"469",2020-10-19,"monroe","us",NA
"470",2020-10-19,"holden beach","us","circle"
"471",2020-05-29,"harrodsburg","us","unknown"
"472",2020-10-30,"worcester","us","unknown"
"473",2020-10-30,"watchung (was my perspective)","us","sphere"
"474",2020-10-30,"tewksbury","us","light"
"475",2020-10-30,"las vegas; enroute to (15 n freeway)",NA,"disk"
"476",2020-10-30,"bablyon",NA,"disk"
"477",2020-10-30,"angola","us","cigar"
"478",2020-10-30,"yakima","us","unknown"
"479",2020-10-30,"arbutus","us","light"
"480",2020-10-30,"forty fort","us","fireball"
"481",2020-10-30,"saratoga springs","us","circle"
"482",2020-10-30,"nanticoke","us","diamond"
"483",2020-10-30,"las cruces","us","fireball"
"484",2020-10-30,"ravensdale","us","triangle"
"485",2020-10-30,"levittown","us","diamond"
